name,highway,segments,length_km,predicted_risk,risk_low,risk_high,priority_score,severity,prevented_incidents_min,prevented_incidents_max,recommended_action,reported_crime
['Maple Avenue'],residential,7,1.241161295773097,3.3999999999999995,0.618497292331785,1.0099544577361523,0,low,0,0,add_lighting,16.0
['Mantua Avenue'],residential,26,2.4079099998497915,45.54230769230769,4.470415599372869,5.5525296744054495,0,high,0,0,add_lighting,401.0
['Mantua Avenue' 'North 31st Street'],tertiary,1,0.0713078604225042,63.9,5.523723072612792,7.968179563309144,0,moderate,0,0,add_lighting_and_booth,17.0
['Manton Street'],residential,24,2.410509131477456,54.662499999999994,5.085781613804162,6.688400518510096,0,high,0,0,add_lighting_and_booth,236.0
['Manti Street'],residential,6,0.758949890410724,15.983333333333334,1.5965409702000113,2.224878250424575,0,low,0,0,add_lighting,6.0
['Mansion Street'],residential,12,0.714560350619245,63.15,6.676589756696451,8.593970280651547,0,severe,0,0,add_lighting_and_booth,50.0
['Mansfield Avenue'],residential,72,5.798944662415744,14.045833333333333,1.3520550989434919,2.2449261355279138,0,moderate,0,0,add_lighting,650.0
['Manor Street'],residential,1,0.112285627298895,77.9,8.147086771776628,9.79154452685903,0,high,0,0,add_patrols,6.0
['Manor Street' 'East Street'],residential,1,0.1840439239162875,58.2,4.615674278303071,7.366559756545397,0,moderate,0,0,add_lighting_and_booth,7.0
['Manning Street'],residential,11,0.9200749046016581,37.08181818181818,3.4391132767585573,4.593022597947394,0,high,0,0,add_lighting,197.0
